"","locations.lon","locations.lat"
"423",-58.3815591,-34.6036844
"424",NA,NA
"425",NA,NA
"426",-73.9441579,40.6781784
"427",NA,NA
"428",NA,NA
"429",NA,NA
"430",NA,NA
"431",NA,NA
"432",-91.8318334,35.20105
"433",-122.6716063,45.6318397
"434",NA,NA
"435",-0.1277583,51.5073509
"436",NA,NA
"437",NA,NA
"438",-82.7873244,27.9094665
"439",NA,NA
"440",-71.0588801,42.3600825
"441",NA,NA
"442",-73.9885583,40.7627167
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",-82.0105148,33.4734978
"447",15.472962,49.817492
"448",-97.307347,30.097643
"449",NA,NA
"450",NA,NA
"451",NA,NA
"452",-77.6109219,43.16103
"453",-75.6054882,39.9606643
"454",-81.339552,41.6661573
"455",-74.0059413,40.7127837
"456",NA,NA
"457",NA,NA
"458",NA,NA
"459",-71.3824374,42.4072107
"460",NA,NA
"461",NA,NA
"462",-84.3879824,33.7489954
"463",NA,NA
"464",-119.4179324,36.778261
"465",NA,NA
"466",NA,NA
"467",NA,NA
"468",-99.9018131,31.9685988
"469",NA,NA
"470",-81.5157535,27.6648274
"471",NA,NA
"472",-74.0059413,40.7127837
"473",NA,NA
"474",NA,NA
"475",NA,NA
"476",-111.0937311,39.3209801
"477",NA,NA
"478",-116.419389,38.8026097
"479",-83.6513229,41.3747744
"480",-73.8731089,40.8789521
"481",-73.212072,44.4758825
"482",NA,NA
"483",-66.1057355,18.4655394
"484",-120.8958242,38.8375215
"485",-74.0059413,40.7127837
"486",NA,NA
"487",-95.99153,36.156883
"488",-100.319906,25.790395
"489",NA,NA
"490",-85.3096801,35.0456297
"491",NA,NA
"492",15.2551187,54.5259614
"493",-77.1067698,38.8799697
"494",-82.907123,40.4172871
"495",NA,NA
"496",NA,NA
"497",NA,NA
"498",-82.9628343,40.0365966
"499",NA,NA
"500",-74.0059413,40.7127837
"501",-69.3354,-15.9254
"502",-95.712891,37.09024
"503",NA,NA
"504",NA,NA
"505",-74.0059413,40.7127837
"506",-95.712891,37.09024
"507",NA,NA
"508",NA,NA
"509",-93.5663455,44.9032963
"510",-97.740095,30.3227954
"511",NA,NA
"512",NA,NA
"513",-104.990251,39.7392358
"514",NA,NA
"515",-75.5276699,38.9108325
"516",-99.9018131,31.9685988
"517",-118.3617443,34.0900091
"518",-98.487335,29.4390958
"519",-86.7816016,36.1626638
"520",-75.3835283,40.7194355
"521",-74.0059413,40.7127837
"522",-99.9018131,31.9685988
"523",-69.192763,44.148088
"524",NA,NA
"525",-71.0588801,42.3600825
"526",-116.5963713,31.8667427
"527",NA,NA
"528",-71.0588801,42.3600825
"529",-71.0588801,42.3600825
"530",NA,NA
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",-71.1092012,42.1229099
"535",NA,NA
"536",-0.1277583,51.5073509
"537",-118.2436849,34.0522342
"538",-95.712891,37.09024
"539",-95.3698028,29.7604267
"540",NA,NA
"541",-95.3698028,29.7604267
"542",NA,NA
"543",NA,NA
"544",NA,NA
"545",8.6821267,50.1109221
"546",NA,NA
"547",NA,NA
"548",-95.712891,37.09024
"549",-83.1497751,42.6064095
"550",-79.9310512,32.7764749
"551",NA,NA
"552",NA,NA
"553",-87.771964,41.909611
"554",-74.0398622,40.9287098
"555",-119.4179324,36.778261
"556",NA,NA
"557",-76.727745,39.9625984
"558",-84.3640829,33.7589188
"559",-76.6121893,39.2903848
"560",NA,NA
"561",NA,NA
"562",NA,NA
"563",NA,NA
"564",NA,NA
"565",NA,NA
"566",-79.9958864,40.4406248
"567",NA,NA
"568",2.5033683,39.5653483
"569",-71.3328331,42.0042655
"570",NA,NA
"571",NA,NA
"572",-51.2176584,-30.0346471
"573",NA,NA
"574",NA,NA
"575",NA,NA
"576",NA,NA
"577",NA,NA
"578",NA,NA
"579",NA,NA
"580",-71.1211635,42.3317642
"581",-71.0588801,42.3600825
"582",-112.0567376,33.5042885
"583",-71.0588801,42.3600825
"584",NA,NA
"585",-74.0059413,40.7127837
"586",-74.0059413,40.7127837
"587",-74.0059413,40.7127837
"588",NA,NA
"589",72.8776559,19.0759837
"590",-86.7816016,36.1626638
"591",NA,NA
"592",NA,NA
"593",2.3522219,48.856614
"594",-66.58973,6.42375
"595",NA,NA
"596",NA,NA
"597",-81.3792365,28.5383355
"598",NA,NA
"599",NA,NA
"600",-40.0652641,-19.3946651
"601",-81.3792365,28.5383355
"602",-95.3010624,32.3512601
"603",NA,NA
"604",NA,NA
"605",NA,NA
"606",19.145136,51.919438
"607",35.2032778,33.2721479
"608",NA,NA
"609",NA,NA
"610",29.7657663,40.8676124
"611",6.1552165,52.2660751
"612",111.4752851,-0.2787808
"613",-115.1398296,36.1699412
"614",-76.2710833,-12.2720956
"615",NA,NA
"616",NA,NA
"617",-97.7430608,30.267153
"618",-71.0588801,42.3600825
"619",113.921327,-0.789275
"620",-94.757529,38.935011
"621",NA,NA
"622",NA,NA
"623",NA,NA
"624",NA,NA
"625",-78.6568942,37.4315734
"626",NA,NA
"627",NA,NA
